PO_ID,Supplier,Order_Date,Delivery_Date,Item_Category,Order_Status,Quantity,Unit_Price,Negotiated_Price,Defective_Units,Compliance,Delivery_Missing,Delivery_Delay_Days,Savings_Per_Unit,Total_Savings,Defect_Rate
PO-00018,EPSILON_GROUP,2022-08-27,2022-09-04,RAW MATERIALS,DELIVERED,921,51.48,50.61,0.0,YES,False,8.0,0.8699999999999974,801.2699999999976,0.0
PO-00019,GAMMA_CO,2023-06-02,2023-06-05,RAW MATERIALS,PARTIALLY DELIVERED,1737,97.53,87.37,79.0,YES,False,3.0,10.159999999999997,17647.919999999995,0.04548071387449626
PO-00020,DELTA_LOGISTICS,2023-09-09,2023-09-24,RAW MATERIALS,DELIVERED,180,45.74,38.89,0.0,NO,False,15.0,6.850000000000001,1233.0000000000002,0.0
PO-00021,EPSILON_GROUP,2022-01-28,2022-02-12,ELECTRONICS,CANCELLED,1735,20.54,19.69,49.0,YES,False,15.0,0.8499999999999979,1474.7499999999964,0.02824207492795389
PO-00022,DELTA_LOGISTICS,2023-07-29,2023-08-11,RAW MATERIALS,DELIVERED,1382,24.93,23.75,0.0,YES,False,13.0,1.1799999999999997,1630.7599999999995,0.0
PO-00023,EPSILON_GROUP,2022-07-23,2022-08-08,MRO,DELIVERED,819,80.89,77.03,29.0,YES,False,16.0,3.8599999999999994,3161.3399999999997,0.03540903540903541
PO-00024,BETA_SUPPLIES,2023-10-28,2023-11-03,OFFICE SUPPLIES,PARTIALLY DELIVERED,393,72.53,66.31,42.0,NO,False,6.0,6.219999999999999,2444.4599999999996,0.10687022900763359
PO-00025,BETA_SUPPLIES,2023-12-20,2024-01-01,MRO,DELIVERED,1565,21.3,20.09,161.0,YES,False,12.0,1.2100000000000009,1893.6500000000012,0.10287539936102237
PO-00026,EPSILON_GROUP,2023-07-13,2023-07-24,PACKAGING,DELIVERED,1487,19.15,17.24,0.0,YES,False,11.0,1.9100000000000001,2840.17,0.0
PO-00027,ALPHA_INC,2023-03-06,2023-03-26,MRO,DELIVERED,855,78.2,67.16,17.0,YES,False,20.0,11.040000000000006,9439.200000000006,0.019883040935672516
PO-00028,EPSILON_GROUP,2022-08-14,2022-08-23,RAW MATERIALS,DELIVERED,435,17.13,15.84,8.0,YES,False,9.0,1.2899999999999991,561.1499999999996,0.01839080459770115
PO-00029,DELTA_LOGISTICS,2023-04-05,2023-04-22,MRO,DELIVERED,1265,90.26,79.47,187.0,YES,False,17.0,10.790000000000006,13649.350000000008,0.14782608695652175
PO-00030,EPSILON_GROUP,2023-08-27,,MRO,DELIVERED,1005,80.55,73.31,30.0,YES,True,,7.239999999999995,7276.199999999995,0.029850746268656716
PO-00031,GAMMA_CO,2022-10-12,2022-10-26,ELECTRONICS,DELIVERED,326,18.1,15.92,0.0,NO,False,14.0,2.1800000000000015,710.6800000000005,0.0
PO-00032,ALPHA_INC,2022-01-07,2022-01-15,OFFICE SUPPLIES,DELIVERED,1234,17.64,15.66,26.0,YES,False,8.0,1.9800000000000004,2443.3200000000006,0.02106969205834684
PO-00033,EPSILON_GROUP,2022-06-13,2022-06-29,MRO,DELIVERED,509,101.27,97.82,19.0,YES,False,16.0,3.450000000000003,1756.0500000000015,0.03732809430255403
PO-00034,ALPHA_INC,2023-12-16,2023-12-17,PACKAGING,DELIVERED,1387,48.71,43.71,27.0,YES,False,1.0,5.0,6935.0,0.01946647440519106
PO-00035,ALPHA_INC,2023-03-09,2023-03-17,MRO,DELIVERED,71,46.39,43.18,0.0,YES,False,8.0,3.210000000000001,227.91000000000005,0.0
PO-00036,EPSILON_GROUP,2022-12-15,2022-12-23,OFFICE SUPPLIES,DELIVERED,302,87.73,81.52,9.0,YES,False,8.0,6.210000000000008,1875.4200000000023,0.029801324503311258
PO-00037,EPSILON_GROUP,2022-10-12,2022-10-31,OFFICE SUPPLIES,PENDING,797,99.54,91.37,18.0,YES,False,19.0,8.170000000000002,6511.490000000002,0.02258469259723965
PO-00038,BETA_SUPPLIES,2022-06-09,2022-06-27,OFFICE SUPPLIES,PENDING,906,101.21,90.9,94.0,YES,False,18.0,10.309999999999988,9340.85999999999,0.10375275938189846
PO-00039,EPSILON_GROUP,2022-08-09,2022-08-23,OFFICE SUPPLIES,DELIVERED,1634,80.53,76.15,50.0,YES,False,14.0,4.3799999999999955,7156.919999999993,0.030599755201958383
PO-00040,EPSILON_GROUP,2022-12-11,,OFFICE SUPPLIES,DELIVERED,524,46.28,39.65,14.0,YES,True,,6.630000000000003,3474.1200000000013,0.026717557251908396
PO-00041,BETA_SUPPLIES,2022-04-15,2022-04-27,ELECTRONICS,DELIVERED,1132,17.78,15.36,96.0,YES,False,12.0,2.4200000000000017,2739.440000000002,0.08480565371024736
PO-00042,BETA_SUPPLIES,2022-04-05,2022-04-14,OFFICE SUPPLIES,DELIVERED,560,81.14,77.87,34.0,NO,False,9.0,3.269999999999996,1831.1999999999978,0.060714285714285714
PO-00043,GAMMA_CO,2023-01-25,2023-02-02,ELECTRONICS,DELIVERED,1755,63.87,58.4,85.0,YES,False,8.0,5.469999999999999,9599.849999999999,0.04843304843304843
PO-00044,EPSILON_GROUP,2022-04-10,2022-04-17,MRO,DELIVERED,1549,48.9,42.42,48.0,YES,False,7.0,6.479999999999997,10037.519999999995,0.030987734021949646
PO-00045,DELTA_LOGISTICS,2023-01-03,2023-01-21,MRO,DELIVERED,749,97.07,94.16,123.0,YES,False,18.0,2.9099999999999966,2179.5899999999974,0.16421895861148197
PO-00046,ALPHA_INC,2022-12-19,,ELECTRONICS,DELIVERED,1025,21.11,19.25,15.0,YES,True,,1.8599999999999994,1906.4999999999993,0.014634146341463415
PO-00047,BETA_SUPPLIES,2023-09-11,2023-09-18,RAW MATERIALS,DELIVERED,1856,59.77,50.81,191.0,YES,False,7.0,8.96,16629.760000000002,0.10290948275862069
PO-00048,EPSILON_GROUP,2022-09-28,2022-10-14,OFFICE SUPPLIES,DELIVERED,239,11.46,11.28,4.0,YES,False,16.0,0.1800000000000015,43.02000000000036,0.016736401673640166
PO-00049,DELTA_LOGISTICS,2022-02-14,2022-03-05,OFFICE SUPPLIES,PENDING,1007,52.44,46.06,167.0,YES,False,19.0,6.3799999999999955,6424.659999999995,0.16583912611717974
PO-00050,ALPHA_INC,2023-04-16,,MRO,PENDING,736,16.2,15.33,18.0,YES,True,,0.8699999999999992,640.3199999999995,0.024456521739130436
PO-00051,EPSILON_GROUP,2023-07-04,2023-07-14,ELECTRONICS,DELIVERED,1007,22.56,19.59,0.0,YES,False,10.0,2.969999999999999,2990.789999999999,0.0
PO-00052,DELTA_LOGISTICS,2022-05-08,,OFFICE SUPPLIES,DELIVERED,612,20.99,19.75,102.0,YES,True,,1.2399999999999984,758.8799999999991,0.16666666666666666
PO-00053,ALPHA_INC,2023-01-23,2023-02-02,MRO,PENDING,1949,72.53,63.26,48.0,NO,False,10.0,9.270000000000003,18067.230000000007,0.024628014366341714
PO-00054,DELTA_LOGISTICS,2022-03-22,2022-03-28,OFFICE SUPPLIES,CANCELLED,1640,77.92,76.41,262.0,NO,False,6.0,1.5100000000000051,2476.4000000000083,0.1597560975609756
PO-00055,BETA_SUPPLIES,2023-07-20,2023-08-07,ELECTRONICS,DELIVERED,1317,68.13,60.52,136.0,YES,False,18.0,7.609999999999992,10022.36999999999,0.10326499620349279
PO-00056,EPSILON_GROUP,2022-10-28,2022-10-30,RAW MATERIALS,DELIVERED,881,100.94,95.05,30.0,YES,False,2.0,5.890000000000001,5189.09,0.0340522133938706
PO-00057,DELTA_LOGISTICS,2023-10-06,,PACKAGING,DELIVERED,1578,48.33,42.77,206.0,YES,True,,5.559999999999995,8773.679999999993,0.13054499366286437
PO-00058,DELTA_LOGISTICS,2023-09-26,2023-10-01,MRO,DELIVERED,1204,39.29,35.44,0.0,YES,False,5.0,3.8500000000000014,4635.4000000000015,0.0
PO-00059,EPSILON_GROUP,2023-01-06,2023-01-22,MRO,PENDING,1558,93.46,91.27,39.0,YES,False,16.0,2.1899999999999977,3412.0199999999963,0.02503209242618742
PO-00060,ALPHA_INC,2023-08-15,2023-08-16,PACKAGING,DELIVERED,1892,32.99,28.81,35.0,YES,False,1.0,4.180000000000003,7908.560000000006,0.01849894291754757
PO-00061,EPSILON_GROUP,2022-07-16,2022-08-01,PACKAGING,DELIVERED,696,99.59,90.18,25.0,YES,False,16.0,9.409999999999997,6549.359999999998,0.035919540229885055
PO-00062,DELTA_LOGISTICS,2023-12-23,2024-01-03,MRO,PARTIALLY DELIVERED,70,12.37,11.04,10.0,YES,False,11.0,1.33,93.10000000000001,0.14285714285714285
PO-00063,GAMMA_CO,2022-03-13,2022-03-15,RAW MATERIALS,DELIVERED,890,98.26,93.14,49.0,YES,False,2.0,5.1200000000000045,4556.800000000004,0.0550561797752809
PO-00064,ALPHA_INC,2022-02-16,2022-03-04,MRO,DELIVERED,216,13.95,12.31,5.0,YES,False,16.0,1.6399999999999988,354.2399999999997,0.023148148148148147
PO-00065,DELTA_LOGISTICS,2023-11-09,2023-11-12,PACKAGING,DELIVERED,1347,100.13,94.3,200.0,YES,False,3.0,5.829999999999998,7853.0099999999975,0.14847809948032664
PO-00066,GAMMA_CO,2022-08-22,2022-08-25,OFFICE SUPPLIES,PARTIALLY DELIVERED,437,59.51,56.45,25.0,NO,False,3.0,3.059999999999995,1337.219999999998,0.057208237986270026
PO-00067,ALPHA_INC,2022-10-24,2022-10-26,ELECTRONICS,DELIVERED,650,103.84,88.28,12.0,YES,False,2.0,15.560000000000002,10114.000000000002,0.018461538461538463
PO-00068,BETA_SUPPLIES,2022-03-23,2022-04-11,OFFICE SUPPLIES,DELIVERED,365,16.81,15.41,38.0,YES,False,19.0,1.3999999999999986,510.9999999999995,0.10410958904109589
PO-00069,EPSILON_GROUP,2022-08-27,,RAW MATERIALS,CANCELLED,63,61.94,53.8,0.0,YES,True,,8.14,512.82,0.0
PO-00070,ALPHA_INC,2022-04-14,2022-04-22,MRO,DELIVERED,291,98.7,87.02,9.0,YES,False,8.0,11.680000000000007,3398.880000000002,0.030927835051546393
PO-00071,ALPHA_INC,2023-01-25,2023-02-08,MRO,CANCELLED,826,60.5,57.18,18.0,YES,False,14.0,3.3200000000000003,2742.32,0.021791767554479417
PO-00072,DELTA_LOGISTICS,2022-10-12,2022-11-01,ELECTRONICS,PENDING,1419,69.64,59.28,194.0,YES,False,20.0,10.36,14700.839999999998,0.13671599718111346
PO-00073,GAMMA_CO,2023-04-10,2023-04-27,OFFICE SUPPLIES,DELIVERED,614,78.06,73.95,40.0,YES,False,17.0,4.109999999999999,2523.5399999999995,0.06514657980456026
PO-00074,ALPHA_INC,2023-10-13,2023-10-28,ELECTRONICS,DELIVERED,947,56.25,54.25,19.0,YES,False,15.0,2.0,1894.0,0.02006335797254488
PO-00075,EPSILON_GROUP,2023-01-09,2023-01-28,RAW MATERIALS,DELIVERED,1413,70.47,69.65,0.0,YES,False,19.0,0.8199999999999932,1158.6599999999903,0.0
PO-00076,ALPHA_INC,2022-06-16,,OFFICE SUPPLIES,PARTIALLY DELIVERED,141,64.15,58.32,0.0,YES,True,,5.830000000000005,822.0300000000008,0.0
PO-00077,ALPHA_INC,2023-01-15,2023-02-04,OFFICE SUPPLIES,DELIVERED,1440,96.57,83.87,36.0,YES,False,20.0,12.699999999999989,18287.999999999985,0.025
PO-00078,DELTA_LOGISTICS,2022-12-30,2023-01-03,RAW MATERIALS,DELIVERED,1005,14.87,12.79,0.0,NO,False,4.0,2.08,2090.4,0.0
PO-00079,ALPHA_INC,2022-08-03,,MRO,DELIVERED,1528,36.52,33.0,31.0,NO,True,,3.520000000000003,5378.560000000005,0.020287958115183247
PO-00080,GAMMA_CO,2023-11-18,2023-11-25,MRO,DELIVERED,1501,106.05,100.99,77.0,NO,False,7.0,5.060000000000002,7595.060000000003,0.051299133910726186
PO-00081,DELTA_LOGISTICS,2022-10-01,2022-10-04,PACKAGING,DELIVERED,558,94.18,81.4,0.0,NO,False,3.0,12.780000000000001,7131.240000000001,0.0
PO-00082,BETA_SUPPLIES,2023-12-20,2023-12-26,MRO,DELIVERED,825,56.88,50.84,0.0,YES,False,6.0,6.039999999999999,4982.999999999999,0.0
PO-00083,BETA_SUPPLIES,2023-12-01,2023-12-07,ELECTRONICS,CANCELLED,84,73.38,71.42,9.0,YES,False,6.0,1.9599999999999937,164.63999999999947,0.10714285714285714
PO-00084,DELTA_LOGISTICS,2023-10-26,2023-11-10,RAW MATERIALS,DELIVERED,255,38.64,33.59,27.0,NO,False,15.0,5.049999999999997,1287.7499999999993,0.10588235294117647
PO-00085,GAMMA_CO,2022-03-15,2022-03-31,MRO,DELIVERED,1154,27.2,26.07,58.0,YES,False,16.0,1.129999999999999,1304.0199999999988,0.05025996533795494
PO-00086,DELTA_LOGISTICS,2023-09-16,2023-09-24,OFFICE SUPPLIES,DELIVERED,1635,56.91,54.37,262.0,NO,False,8.0,2.539999999999999,4152.899999999999,0.1602446483180428
PO-00087,DELTA_LOGISTICS,2023-10-13,2023-10-23,RAW MATERIALS,DELIVERED,1945,46.19,40.12,278.0,NO,False,10.0,6.07,11806.150000000001,0.1429305912596401
PO-00088,DELTA_LOGISTICS,2022-06-25,2022-07-10,MRO,PARTIALLY DELIVERED,1461,64.09,63.39,228.0,NO,False,15.0,0.7000000000000028,1022.7000000000041,0.15605749486652978
PO-00089,DELTA_LOGISTICS,2023-07-01,2023-07-09,ELECTRONICS,DELIVERED,1075,18.53,16.12,147.0,YES,False,8.0,2.41,2590.75,0.13674418604651162
PO-00090,ALPHA_INC,2022-09-08,,PACKAGING,DELIVERED,1071,101.6,93.91,25.0,YES,True,,7.689999999999998,8235.989999999998,0.02334267040149393
PO-00091,EPSILON_GROUP,2022-06-17,2022-07-06,PACKAGING,PENDING,1463,101.23,86.17,43.0,YES,False,19.0,15.060000000000002,22032.780000000002,0.02939166097060834
PO-00092,BETA_SUPPLIES,2023-04-19,2023-04-26,RAW MATERIALS,DELIVERED,615,78.3,73.68,69.0,YES,False,7.0,4.61999999999999,2841.2999999999943,0.11219512195121951
PO-00093,GAMMA_CO,2023-01-24,2023-02-11,ELECTRONICS,DELIVERED,1179,61.74,56.28,0.0,YES,False,18.0,5.460000000000001,6437.340000000001,0.0
PO-00094,ALPHA_INC,2022-10-04,2022-10-09,ELECTRONICS,PARTIALLY DELIVERED,1845,39.56,37.63,45.0,YES,False,5.0,1.9299999999999997,3560.8499999999995,0.024390243902439025
PO-00095,BETA_SUPPLIES,2023-10-18,,ELECTRONICS,CANCELLED,1895,91.98,86.27,170.0,YES,True,,5.710000000000008,10820.450000000015,0.08970976253298153
PO-00096,EPSILON_GROUP,2023-12-06,2023-12-09,MRO,PARTIALLY DELIVERED,1550,79.86,69.57,32.0,NO,False,3.0,10.290000000000006,15949.50000000001,0.02064516129032258
PO-00097,DELTA_LOGISTICS,2023-07-25,2023-08-04,PACKAGING,DELIVERED,752,26.85,24.37,0.0,NO,False,10.0,2.4800000000000004,1864.9600000000003,0.0
PO-00098,EPSILON_GROUP,2022-08-13,2022-09-01,ELECTRONICS,DELIVERED,451,95.2,90.07,21.0,YES,False,19.0,5.13000000000001,2313.630000000004,0.04656319290465632
PO-00099,BETA_SUPPLIES,2023-12-03,,OFFICE SUPPLIES,DELIVERED,779,93.69,90.92,66.0,YES,True,,2.769999999999996,2157.8299999999967,0.08472400513478819
PO-00100,BETA_SUPPLIES,2022-11-29,2022-12-14,MRO,PENDING,1629,100.26,86.44,187.0,NO,False,15.0,13.820000000000007,22512.780000000013,0.11479435236341314
PO-00101,ALPHA_INC,2022-02-27,2022-02-22,OFFICE SUPPLIES,DELIVERED,211,75.69,65.4,2.0,YES,False,-5.0,10.289999999999992,2171.1899999999982,0.009478672985781991
PO-00102,ALPHA_INC,2022-08-23,,OFFICE SUPPLIES,DELIVERED,251,67.49,64.48,2.0,YES,True,,3.009999999999991,755.5099999999977,0.00796812749003984
PO-00103,GAMMA_CO,2022-02-02,2022-02-18,RAW MATERIALS,DELIVERED,1045,47.88,44.65,69.0,YES,False,16.0,3.230000000000004,3375.350000000004,0.0660287081339713
PO-00104,DELTA_LOGISTICS,2022-11-20,2022-12-10,MRO,DELIVERED,319,98.64,89.15,57.0,YES,False,20.0,9.489999999999995,3027.3099999999986,0.1786833855799373
PO-00105,EPSILON_GROUP,2023-02-15,2023-03-01,OFFICE SUPPLIES,PARTIALLY DELIVERED,1936,93.66,92.24,58.0,YES,False,14.0,1.4200000000000017,2749.1200000000035,0.029958677685950414
PO-00106,DELTA_LOGISTICS,2022-10-02,2022-10-22,MRO,CANCELLED,865,14.7,13.14,135.0,NO,False,20.0,1.5599999999999987,1349.399999999999,0.15606936416184972
PO-00107,EPSILON_GROUP,2022-03-09,2022-03-12,ELECTRONICS,DELIVERED,1344,12.5,10.87,44.0,YES,False,3.0,1.6300000000000008,2190.720000000001,0.03273809523809524
PO-00108,DELTA_LOGISTICS,2022-08-05,2022-08-24,RAW MATERIALS,PENDING,505,45.42,40.37,62.0,YES,False,19.0,5.050000000000004,2550.2500000000023,0.12277227722772277
PO-00109,BETA_SUPPLIES,2023-08-04,2023-08-05,PACKAGING,DELIVERED,1535,90.83,78.28,151.0,NO,False,1.0,12.549999999999997,19264.249999999996,0.098371335504886
PO-00110,BETA_SUPPLIES,2022-11-19,,OFFICE SUPPLIES,DELIVERED,1800,103.8,96.27,166.0,YES,True,,7.530000000000001,13554.000000000002,0.09222222222222222
PO-00111,DELTA_LOGISTICS,2022-08-06,2022-08-15,RAW MATERIALS,PENDING,1325,24.36,22.75,206.0,YES,False,9.0,1.6099999999999994,2133.249999999999,0.15547169811320755
PO-00112,GAMMA_CO,2023-11-03,2023-11-09,RAW MATERIALS,DELIVERED,1066,70.45,65.88,56.0,NO,False,6.0,4.570000000000007,4871.620000000008,0.0525328330206379
PO-00113,BETA_SUPPLIES,2023-05-27,2023-06-11,RAW MATERIALS,DELIVERED,1775,47.82,45.86,180.0,YES,False,15.0,1.9600000000000009,3479.0000000000014,0.10140845070422536
PO-00114,GAMMA_CO,2023-02-10,,RAW MATERIALS,PARTIALLY DELIVERED,345,103.62,98.09,25.0,NO,True,,5.530000000000001,1907.8500000000004,0.07246376811594203
PO-00115,BETA_SUPPLIES,2023-10-21,2023-11-09,ELECTRONICS,DELIVERED,1798,94.8,91.83,0.0,YES,False,19.0,2.969999999999999,5340.059999999998,0.0
PO-00116,ALPHA_INC,2023-04-15,2023-05-01,MRO,DELIVERED,769,91.86,86.55,17.0,YES,False,16.0,5.310000000000002,4083.3900000000017,0.022106631989596878
PO-00117,ALPHA_INC,2022-05-27,,PACKAGING,DELIVERED,1822,53.23,47.49,39.0,YES,True,,5.739999999999995,10458.279999999992,0.021405049396267837
PO-00118,DELTA_LOGISTICS,2022-09-29,2022-10-13,PACKAGING,DELIVERED,387,49.23,45.41,61.0,YES,False,14.0,3.8200000000000003,1478.3400000000001,0.15762273901808785
PO-00119,EPSILON_GROUP,2022-05-23,2022-05-27,MRO,DELIVERED,928,35.3,32.52,26.0,YES,False,4.0,2.779999999999994,2579.8399999999947,0.028017241379310345
PO-00120,ALPHA_INC,2022-09-10,2022-09-21,PACKAGING,PARTIALLY DELIVERED,1126,15.68,14.97,27.0,YES,False,11.0,0.7099999999999991,799.459999999999,0.023978685612788632
PO-00121,BETA_SUPPLIES,2023-07-29,2023-08-14,RAW MATERIALS,CANCELLED,841,95.73,85.33,81.0,YES,False,16.0,10.400000000000006,8746.400000000005,0.09631391200951249
PO-00122,BETA_SUPPLIES,2023-07-06,2023-07-19,ELECTRONICS,DELIVERED,1995,90.65,77.75,206.0,YES,False,13.0,12.900000000000006,25735.50000000001,0.10325814536340852
PO-00123,ALPHA_INC,2022-09-27,2022-10-15,RAW MATERIALS,DELIVERED,266,103.97,101.44,6.0,YES,False,18.0,2.530000000000001,672.9800000000002,0.022556390977443608
PO-00124,ALPHA_INC,2023-08-22,2023-08-25,RAW MATERIALS,CANCELLED,813,109.17,107.39,14.0,YES,False,3.0,1.7800000000000011,1447.140000000001,0.017220172201722016
PO-00125,EPSILON_GROUP,2023-03-15,2023-03-26,ELECTRONICS,DELIVERED,237,64.19,59.01,7.0,YES,False,11.0,5.18,1227.6599999999999,0.029535864978902954
PO-00126,ALPHA_INC,2023-08-21,2023-09-03,OFFICE SUPPLIES,CANCELLED,429,86.73,75.09,9.0,YES,False,13.0,11.64,4993.56,0.02097902097902098
PO-00127,DELTA_LOGISTICS,2023-02-13,2023-02-14,PACKAGING,DELIVERED,542,101.21,93.11,78.0,NO,False,1.0,8.099999999999994,4390.199999999997,0.14391143911439114
PO-00128,EPSILON_GROUP,2023-01-06,2023-01-24,ELECTRONICS,DELIVERED,1114,91.66,85.53,35.0,YES,False,18.0,6.1299999999999955,6828.819999999995,0.03141831238779174
PO-00129,ALPHA_INC,2022-08-13,2022-08-15,MRO,DELIVERED,1230,33.39,30.85,26.0,YES,False,2.0,2.539999999999999,3124.199999999999,0.02113821138211382
PO-00130,BETA_SUPPLIES,2022-05-22,2022-06-03,MRO,DELIVERED,64,51.56,50.88,5.0,YES,False,12.0,0.6799999999999997,43.51999999999998,0.078125
PO-00131,ALPHA_INC,2023-06-06,2023-06-22,MRO,DELIVERED,1886,23.46,23.18,0.0,YES,False,16.0,0.28000000000000114,528.0800000000022,0.0
PO-00132,DELTA_LOGISTICS,2023-05-21,2023-05-23,OFFICE SUPPLIES,DELIVERED,114,103.53,101.54,14.0,YES,False,2.0,1.9899999999999949,226.85999999999942,0.12280701754385964
PO-00133,DELTA_LOGISTICS,2022-04-04,2022-04-22,ELECTRONICS,CANCELLED,1930,65.52,56.9,282.0,YES,False,18.0,8.619999999999997,16636.599999999995,0.1461139896373057
PO-00134,BETA_SUPPLIES,2022-02-18,2022-02-28,OFFICE SUPPLIES,PENDING,1912,30.73,29.82,191.0,YES,False,10.0,0.9100000000000001,1739.9200000000003,0.09989539748953975
PO-00135,EPSILON_GROUP,2022-04-23,2022-05-09,MRO,DELIVERED,570,71.51,66.47,0.0,YES,False,16.0,5.040000000000006,2872.8000000000034,0.0
PO-00136,BETA_SUPPLIES,2022-06-06,2022-06-26,RAW MATERIALS,DELIVERED,1417,67.27,60.62,0.0,YES,False,20.0,6.649999999999999,9423.049999999997,0.0
PO-00137,ALPHA_INC,2023-10-05,2023-10-11,RAW MATERIALS,DELIVERED,1202,46.67,44.13,21.0,NO,False,6.0,2.539999999999999,3053.079999999999,0.01747088186356073
PO-00138,BETA_SUPPLIES,2022-06-13,2022-06-14,OFFICE SUPPLIES,DELIVERED,697,20.73,19.83,78.0,NO,False,1.0,0.9000000000000021,627.3000000000014,0.11190817790530846
PO-00139,EPSILON_GROUP,2023-11-28,2023-12-01,MRO,DELIVERED,1545,78.19,76.91,42.0,YES,False,3.0,1.2800000000000011,1977.6000000000017,0.027184466019417475
PO-00140,GAMMA_CO,2023-03-09,2023-03-13,MRO,PARTIALLY DELIVERED,1136,60.81,58.25,62.0,YES,False,4.0,2.5600000000000023,2908.1600000000026,0.05457746478873239
PO-00141,BETA_SUPPLIES,2023-09-03,2023-09-07,MRO,DELIVERED,1212,87.46,74.55,118.0,NO,False,4.0,12.909999999999997,15646.919999999996,0.09735973597359736
PO-00142,EPSILON_GROUP,2022-03-07,2022-03-12,MRO,DELIVERED,1572,57.38,49.32,40.0,YES,False,5.0,8.060000000000002,12670.320000000003,0.02544529262086514
PO-00143,GAMMA_CO,2023-01-30,2023-02-09,ELECTRONICS,DELIVERED,642,91.9,81.49,26.0,YES,False,10.0,10.41000000000001,6683.220000000007,0.040498442367601244
PO-00144,EPSILON_GROUP,2023-01-26,2023-02-04,OFFICE SUPPLIES,DELIVERED,441,63.25,54.12,16.0,YES,False,9.0,9.130000000000003,4026.3300000000013,0.036281179138321996
PO-00145,EPSILON_GROUP,2023-09-03,2023-09-19,OFFICE SUPPLIES,DELIVERED,1748,66.53,57.11,0.0,YES,False,16.0,9.420000000000002,16466.160000000003,0.0
PO-00146,GAMMA_CO,2023-04-25,,ELECTRONICS,PENDING,468,95.57,91.8,24.0,YES,True,,3.769999999999996,1764.359999999998,0.05128205128205128
PO-00147,BETA_SUPPLIES,2023-06-26,2023-07-14,RAW MATERIALS,DELIVERED,338,50.25,46.28,49.0,NO,False,18.0,3.969999999999999,1341.8599999999997,0.14497041420118342
